"META_INSTANCE_ID","ANIMAL_ID","LOCATION_OF_EVENT_REGION","LOCATION_OF_EVENT_DISTRICT","LOCATION_OF_EVENT_WARD","LOCATION_OF_EVENT_VILLAGE","Loc_ID","Loc_ID_w","Loc_ID_d","DATE_OF_INVESTIGATION","TYPE_OF_INVESTIGATION","IS_INVESTGATION_LINKED","ANIMAL_TYPE","ANIMAL_TYPE_WILDLIFE","NUMBER_OF_PEOPLE_BITTEN","NO_OF_PEOPLE_BITTEN_REPEAT_COUNT","OTHER_ANIMALS_BITTEN","OTHER_ANIMALS_BITTEN_SPECIFY","WAS_ANIMAL_OWNED","ANIMAL_AGE","ANIMAL_SEX","IS_ANIMAL_VACCINATED","YEAR_VACCINATED","ANIMAL_FOUND","ANIMAL_OUTCOME","DEATH_CAUSE","SAMPLE_COLLECTED","WHY_SAMPLE_WAS_NOT_TAKEN","SAMPLE_WAS_COLLECTED_SAMPLE_DATE","SAMPLE_WAS_COLLECTED_LOCATION_SAMPLE_STORED","SAMPLE_WAS_COLLECTED_LOCATION_SAMPLE_STORED_OTHER","SAMPLE_WAS_COLLECTED_DATE_TAKEN_TO_LAB","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_DONE","SAMPLE_WAS_COLLECTED_LATERAL_FLOW_TEST_OUTCOME","REASON_FOR_REPORT","REASON_FOR_REPORT_OTHER","REPORTED_FROM","RISK_ASSESSMENT","ASSESSMENT_DECISION","Date_proxy","Year","Month","Day","jmonth","jday","Year_month","Assessment","correction_type","IBCM_start","VICTIM_ENV","HE_aggressive","HE_approach_dog","HE_no_provocation","HE_playing","HE_scared_of_dogs","HE_noise","HE_throwing_things","HE_running","ANIMAL_ENV","AE_chained","AE_fenced","AE_lots_of_dogs","AE_on_owners_property","AE_from_unknown_place","AE_lots_of_people","SYMPTOMS","S_abnormal_vocalization","S_restlessness","S_active_during_day","S_dullness","S_tameness","S_excessive_salivation","S_hypersexuality","S_unprovoked_aggression","S_paralysis"
"uuid:9dc92ea9-e71e-48f3-9038-1be2f93fa590",NA,"Lindi","Kilwa","Pande",NA,"Village-Lindi-Kilwa-Pande-NA","Ward-Lindi-Kilwa-Pande","District-Lindi-Kilwa",2018-08-29,"phone_consultation","yes","dog",NA,1,1,NA,NA,"unknown","adult","unknown","unknown",NA,"no","lost",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"healthy",2018-08-29,2018,8,240,8,240,"2018-8","Healthy","Not altered","2018-07-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:92a1f1b3-df54-4682-a465-ee08d0f0bfd7",NA,"Morogoro","Ulanga","Milola","Milola A","Village-Morogoro-Ulanga-Milola-Milola A","Ward-Morogoro-Ulanga-Milola","District-Morogoro-Ulanga",2018-08-24,"phone_consultation","yes","dog",NA,0,0,NA,NA,"not_owned","juvenile","male","unknown",NA,"yes","dead","killed_by_community","no","thrown_away",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suspicious_for_of_rabies",2018-08-24,2018,8,235,8,235,"2018-8","Suspect","Not altered","2018-08-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:d118213a-4e96-43de-bf1d-45a35d75d033",NA,"Mara","Bunda","Bunda Stoo","Bunda Stoo","Village-Mara-Bunda-Bunda Stoo-Bunda Stoo","Ward-Mara-bunda mjini-Bunda Stoo","District-Mara-bunda mjini",2019-01-14,"phone_consultation","yes","cat",NA,1,1,NA,NA,"not_owned","juvenile","unknown","unknown",NA,"no","dead","killed_by_community","no","animal_disappeared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suspicious_for_of_rabies",2019-01-14,2019,1,13,13,25,"2019-1","Suspect","Correction Spreadsheet","2018-06-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:818fbbdb-9bbd-4040-97c3-080bbcb90d9c",NA,"Mtwara","Tandahimba","Tandahimba",NA,"Village-Mtwara-Tandahimba-Tandahimba-NA","Ward-Mtwara-Tandahimba-Tandahimba","District-Mtwara-Tandahimba",2018-09-21,"phone_consultation","yes","dog",NA,2,2,NA,NA,"not_owned","adult","male","unknown",NA,"no","disappeared",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suspicious_for_of_rabies",2018-09-21,2018,9,263,9,263,"2018-9","Suspect","Not altered","2018-06-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:dc2c2686-8b81-4ec2-9974-ee5f41982b1f",NA,"Mtwara","Masasi","Chikolopola","Chikolopora","Village-Mtwara-Masasi-Chikolopola-Chikolopora","Ward-Mtwara-Masasi-Chikolopola","District-Mtwara-Masasi",2019-01-17,"phone_consultation","yes","dog",NA,1,1,NA,NA,"unknown","unknown","unknown","unknown",NA,"no","dead","killed_by_community","no","thrown_away",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suspicious_for_of_rabies",2019-01-17,2019,1,16,13,28,"2019-1","Suspect","Not altered","2018-06-01",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:03301ef5-41dd-429b-a98c-8355005a70b5",NA,"Mtwara","Tandahimba","Chaume","Machedi","Village-Mtwara-Tandahimba-Chaume-Machedi","Ward-Mtwara-Tandahimba-Chaume","District-Mtwara-Tandahimba",2018-07-13,"in_person","yes","dog",NA,1,1,"none",NA,"unknown","adult","male","unknown",NA,"no","alive",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"normal_behaviour","healthy",2018-07-13,2018,7,193,7,193,"2018-7","Healthy","Not altered","2018-06-01","approching_the_dog,noise,playing,throwing_things",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"from_unknown_place,lots_of_dogs",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"abnormal_vocalization",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:03c2b26e-9e8a-43b7-8030-95fd9ed74d38",NA,"Morogoro","Kilosa","Lumuma","Mnozi","Village-Morogoro-Kilosa-Lumuma-Mnozi","Ward-Morogoro-Kilosa-Lumuma","District-Morogoro-Kilosa",2018-08-29,"in_person","yes","dog",NA,2,2,"none",NA,"unknown","adult","male","unknown",NA,"yes","dead","killed_by_community","no","thrown_away",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,NA,"suspicious_for_of_rabies",2018-08-29,2018,8,240,8,240,"2018-8","Suspect","Not altered","2018-08-01","not_provoked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"restlessness",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:063dc0c1-cc79-40e5-a753-9d94e6d4e383",NA,"Mara","Tarime","Kentare","Nkongore","Village-Mara-Tarime-Kentare-Nkongore","Ward-Mara-Tarime Township Authority-Ketare","District-Mara-Tarime Township Authority",2018-07-29,"phone_consultation","yes","dog",NA,2,2,"none",NA,"not_owned","adult","male","no",NA,"yes","alive",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"eating","healthy",2018-07-29,2018,7,209,7,209,"2018-7","Healthy","Correction Spreadsheet","2018-06-01","aggressive",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"chained",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"restlessness,tameness",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"uuid:06ac9272-27f7-4598-bcdf-5be402046da2",NA,"Mtwara","Tandahimba","Tandahimba","Matogoro","Village-Mtwara-Tandahimba-Tandahimba-Matogoro","Ward-Mtwara-Tandahimba-Tandahimba","District-Mtwara-Tandahimba",2019-01-10,"in_person","yes","dog",NA,1,1,"none",NA,"not_owned","adult","male","no",NA,"no","alive",NA,"no","animal_disappeared",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"normal_behaviour","sick_not_rabies",2019-01-10,2019,1,9,13,21,"2019-1","Healthy","Not altered","2018-06-01","approching_the_dog,scared_of_dogs",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"from_unknown_place",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"running_without_reason",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"uuid:07655388-9de6-41b3-a3ac-615f87d9a800",NA,"Morogoro","Ulanga","Mahenge",NA,"Village-Morogoro-Ulanga-Mahenge-NA","Ward-Morogoro-Ulanga-Mahenge","District-Morogoro-Ulanga",2019-02-08,"in_person","yes","dog",NA,1,1,"none",NA,"owned","adult","female","no",NA,"yes","alive",NA,"no","not_applicable",NA,NA,NA,NA,NA,NA,"human_exposure",NA,NA,"eating,normal_behaviour","suspicious_for_of_rabies",2019-02-08,2019,2,38,14,50,"2019-2","Suspect","Not altered","2018-08-01","aggressive,scared_of_dogs",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"lots_of_dogs,on_owners_property",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"unprovoked_aggression",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
